epoch,step,train_loss,val_loss
0,274,,0.9226472973823547
0,274,0.654695987701416,
1,549,,1.0052558183670044
1,549,0.44603705406188965,
2,824,,1.1275081634521484
2,824,0.3933436870574951,
3,1099,,1.046993374824524
3,1099,0.372174471616745,
4,1374,,1.066361427307129
4,1374,0.34470686316490173,
5,1649,,1.0389468669891357
5,1649,0.2968716323375702,
6,1924,,1.081020474433899
6,1924,0.27914801239967346,
7,2199,,0.9833412170410156
7,2199,0.2806273102760315,
8,2474,,1.06304132938385
8,2474,0.2656286656856537,
9,2749,,1.1030161380767822
9,2749,0.24147866666316986,
10,3024,,1.0467476844787598
10,3024,0.2335941642522812,
