epoch,step,train_loss,val_loss
0,274,,0.7550751566886902
0,274,0.5675429701805115,
1,549,,0.782929539680481
1,549,0.4937158226966858,
2,824,,0.8292514681816101
2,824,0.4639822840690613,
3,1099,,0.8059877753257751
3,1099,0.44041427969932556,
4,1374,,0.7880733013153076
4,1374,0.43282222747802734,
5,1649,,0.787981390953064
5,1649,0.4156460464000702,
6,1924,,0.8884624242782593
6,1924,0.40556803345680237,
7,2199,,0.8420830965042114
7,2199,0.38860026001930237,
8,2474,,0.8874204158782959
8,2474,0.38077113032341003,
9,2749,,0.9225647449493408
9,2749,0.3768838942050934,
10,3024,,0.8843433856964111
10,3024,0.3682004511356354,
