epoch,step,train_loss,val_loss
0,274,,0.7238557934761047
0,274,0.5509313941001892,
1,549,,0.8031885027885437
1,549,0.4871457815170288,
2,824,,0.825543999671936
2,824,0.45889467000961304,
3,1099,,0.7918445467948914
3,1099,0.4422474205493927,
4,1374,,0.8402743935585022
4,1374,0.4273267686367035,
5,1649,,0.8924078345298767
5,1649,0.38414692878723145,
6,1924,,0.8688755035400391
6,1924,0.37866461277008057,
7,2199,,0.8959468007087708
7,2199,0.3658178746700287,
8,2474,,0.9170361161231995
8,2474,0.36008787155151367,
9,2749,,0.9086726307868958
9,2749,0.33246925473213196,
10,3024,,0.9443331360816956
10,3024,0.3259270191192627,
